Data for 500x500 matrix
id,width,height,value
302,3,3,2
303,2,10,3
304,9,3,6
305,10,7,6
306,9,6,9
307,8,9,9
308,2,5,3
309,4,9,3
310,6,4,4
311,4,4,4
312,5,5,3
313,5,7,6
314,6,5,1
315,10,1,9
316,3,2,7
317,9,10,3
318,5,3,6
319,9,6,10
320,6,9,4
321,7,3,10
322,8,5,10
323,7,4,9
324,9,6,9
325,10,2,6
326,3,1,6
327,4,3,3
328,5,2,8
329,10,1,5
330,6,9,1
331,6,2,7
332,2,6,5
333,9,3,3
334,2,7,10
335,1,10,2
336,3,4,2
337,10,7,4
338,1,7,7
339,2,1,8
340,1,4,1
341,1,4,3
342,9,4,9
343,1,9,1
344,10,5,3
345,8,4,5
346,5,7,8
347,2,1,10
348,9,8,9
349,2,4,2
350,1,9,1
351,4,7,10
352,9,5,1
353,1,7,10
354,10,8,10
355,8,2,9
356,1,2,6
357,10,3,3
358,1,6,6
359,6,5,9
360,8,7,6
361,8,7,3
362,10,3,9
363,10,2,5
364,3,7,9
365,6,2,9
366,4,10,4
367,4,2,9
368,1,7,8
369,1,6,5
370,10,10,8
371,6,2,9
372,4,7,5
373,10,10,2
374,4,6,6
375,2,8,8
376,6,1,6
377,10,2,1
378,3,10,10
379,4,9,1
380,9,6,2
381,6,4,8
382,9,3,1
383,3,3,1
384,1,3,5
385,4,5,7
386,8,5,3
387,9,5,3
388,2,7,9
389,2,9,6
390,5,3,10
391,8,6,7
392,4,4,9
393,8,9,1
394,2,3,10
395,4,10,4
396,5,4,3
397,6,3,5
398,1,10,4
399,7,5,5
400,10,7,6
401,10,6,10
402,1,3,5
403,6,9,8
404,7,7,2
405,4,9,7
406,3,2,5
407,10,5,2
408,8,9,2
409,3,5,5
410,4,7,2
411,2,6,6
412,5,4,5
413,10,3,5
414,2,10,8
415,5,4,6
416,7,6,10
417,10,1,8
418,2,9,9
419,5,1,1
420,1,4,8
421,3,4,6
422,9,2,4
423,3,10,4
424,2,10,7
425,5,7,6
426,2,5,4
427,3,7,4
428,4,6,4
429,7,5,7
430,7,4,3
431,3,5,10
432,2,8,2
433,9,7,5
434,10,6,7
435,5,3,4
436,1,1,5
437,3,2,1
438,5,7,7
439,1,1,5
440,10,3,9
441,6,4,7
442,3,8,10
443,9,8,9
444,5,7,3
445,3,1,1
446,1,10,9
447,5,10,6
448,5,7,4
449,5,8,5
450,9,2,5
451,9,5,1
452,9,2,3
453,7,5,10
454,6,10,1
455,1,5,5
456,7,3,8
457,5,3,1
458,1,10,4
459,3,8,4
460,2,9,2
461,6,2,8
462,10,3,9
463,6,3,5
464,5,5,9
465,8,7,7
466,1,9,9
467,8,3,3
468,2,2,8
469,9,4,8
470,8,10,6
471,4,2,10
472,6,1,1
473,7,3,6
474,9,4,10
475,4,3,10
476,5,5,1
477,5,5,5
478,2,1,1
479,3,9,5
480,1,2,9
481,7,4,1
482,9,1,1
483,6,2,2
484,10,6,3
485,4,3,10
486,2,4,2
487,3,3,2
488,4,8,10
489,1,4,4
490,3,4,1
491,6,2,9
492,8,8,2
493,8,10,1
494,1,9,10
495,9,9,7
496,4,4,7
497,7,6,4
498,4,7,2
499,2,2,2
500,7,3,8
501,1,2,5
502,1,9,10
503,8,1,9
504,3,7,2
505,3,6,8
506,8,7,3
507,9,2,1
508,6,1,7
509,8,2,4
510,8,3,7
511,1,10,5
512,9,10,9
513,6,10,8
514,10,8,2
515,5,7,1
516,3,3,10
517,9,3,3
518,9,7,3
519,8,3,10
520,8,2,1
521,6,4,9
522,7,9,1
523,4,2,5
524,8,4,4
525,1,3,5
526,3,3,7
527,6,1,1
528,4,6,8
529,7,4,4
530,9,3,8
531,3,1,8
532,2,4,10
533,4,5,3
534,9,5,8
535,4,4,4
536,8,8,3
537,8,5,5
538,4,8,4
539,4,1,4
540,1,6,1
541,6,4,3
542,6,4,1
543,10,8,1
544,5,8,2
545,4,1,4
546,2,7,7
547,8,5,6
548,2,3,9
549,4,2,7
550,9,5,7
551,6,8,6
552,5,10,6
553,5,2,8
554,2,3,5
555,9,7,8
556,8,4,1
557,6,3,7
558,9,3,10
559,5,1,5
560,3,4,6
561,6,8,5
562,3,6,2
563,2,3,4
564,5,1,3
565,6,3,9
566,6,6,7
567,4,7,1
568,9,5,7
569,6,2,8
570,6,1,2
571,1,8,5
572,7,4,7
573,3,9,10
574,5,3,5
575,10,9,6
576,9,1,9
577,7,1,2
578,8,1,7
579,1,7,6
580,2,4,9
581,5,9,7
582,1,4,10
583,8,3,7
584,9,8,1
585,5,7,10
586,8,8,9
587,7,2,4
588,3,6,2
589,2,4,6
590,6,8,3
591,7,9,5
592,3,10,4
593,10,10,7
594,3,8,6
595,7,7,8
596,6,7,9
597,7,5,5
598,9,3,6
599,1,5,8
600,9,5,9
601,3,9,5
602,6,10,10
603,4,1,4
604,6,2,9
605,10,6,10
606,6,1,7
607,5,5,5
608,1,7,4
609,6,8,10
610,3,7,1
611,10,2,4
612,9,5,6
613,4,3,3
614,7,9,9
615,9,1,10
616,8,9,9
617,3,10,1
618,6,4,5
619,8,10,4
620,4,4,6
621,3,4,7
622,10,7,5
623,10,5,10
624,7,10,8
625,10,4,10
626,9,2,9
627,10,5,7
628,6,4,9
629,1,9,9
630,2,5,5
631,7,3,2
632,1,2,3
633,8,8,1
634,1,4,4
635,2,9,3
636,5,3,6
637,2,8,3
638,10,2,8
639,10,6,6
640,3,10,9
641,9,7,1
642,6,2,5
643,9,7,5
644,9,10,4
645,6,1,3
646,7,1,2
647,7,9,4
648,3,3,10
649,3,1,7
650,9,2,10
651,8,1,9
652,7,5,8
653,5,4,4
654,9,8,1
655,6,2,3
656,8,5,3
657,2,10,2
658,5,3,10
659,3,8,5
660,5,9,4
661,3,10,5
662,5,10,2
663,10,1,8
664,4,6,8
665,1,2,9
666,6,9,10
667,2,6,2
668,9,5,2
669,5,1,5
670,3,3,1
671,9,5,6
672,2,5,2
673,8,4,8
674,3,5,9
675,7,4,4
676,10,4,9
677,7,7,1
678,2,8,8
679,4,6,7
680,6,5,6
681,8,9,3
682,3,4,4
683,3,4,8
684,1,6,10
685,5,3,8
686,5,5,2
687,3,8,8
688,3,1,1
689,6,1,3
690,7,1,6
691,6,1,9
692,7,2,8
693,2,5,9
694,2,10,10
695,6,4,8
696,7,1,9
697,8,9,8
698,5,3,9
699,6,7,10
700,5,8,10
701,4,2,6
702,10,3,3
703,2,6,3
704,5,5,9
705,1,6,4
706,3,1,7
707,5,6,5
708,4,9,3
709,1,7,9
710,2,4,7
711,8,1,3
712,5,10,2
713,4,8,6
714,10,6,10
715,2,8,7
716,8,3,8
717,7,7,3
718,8,10,8
719,5,2,5
720,5,8,5
721,9,3,1
722,7,7,6
723,1,3,7
724,10,6,3
725,3,6,5
726,3,2,10
727,6,2,5
728,8,4,2
729,7,2,1
730,1,6,2
731,6,4,3
732,10,10,4
733,2,10,7
734,3,1,10
735,9,10,1
736,10,3,4
737,5,5,6
738,9,9,7
739,10,8,4
740,5,6,9
741,10,8,8
742,3,2,3
743,2,7,3
744,7,7,6
745,8,1,7
746,7,4,10
747,8,9,5
748,2,2,3
749,10,5,1
750,4,3,8
751,2,3,7
752,4,10,7
753,5,10,5
754,8,5,4
755,1,1,3
756,1,5,5
757,10,4,9
758,4,10,10
759,5,2,5
760,7,5,8
761,3,10,5
762,6,5,6
763,7,1,1
764,3,6,5
765,6,6,2
766,10,6,8
767,2,4,5
768,1,2,2
769,6,10,7
770,2,3,3
771,6,9,9
772,9,4,6
773,5,3,5
774,8,6,5
775,6,9,9
776,10,5,9
777,7,10,6
778,5,1,8
779,8,4,8
780,5,8,9
781,9,2,10
782,3,4,8
783,3,1,7
784,2,9,9
785,7,8,2
786,7,3,3
787,8,8,5
788,10,6,7
789,4,2,1
790,9,2,2
791,4,6,1
792,5,4,2
793,4,4,10
794,1,7,7
795,5,6,8
796,5,4,7
797,7,10,2
798,6,2,5
799,7,10,9
800,3,5,7
801,9,9,7
802,5,6,6
803,6,5,4
804,5,5,1
805,1,9,10
806,3,4,6
807,2,9,7
808,1,6,8
809,8,9,6
810,3,7,10
811,7,2,6
812,9,7,4
813,8,10,1
814,5,6,4
815,10,4,9
816,6,3,1
817,7,5,9
818,4,3,5
819,2,6,10
820,6,6,6
821,5,2,2
822,7,5,4
823,1,1,6
824,5,1,2
825,8,7,8
826,6,9,10
827,8,1,1
828,9,5,7
829,5,7,9
830,5,2,5
831,7,2,2
832,6,3,10
833,5,6,1
834,3,2,4
835,2,1,9
836,7,2,5
837,6,6,9
838,10,6,1
839,2,9,5
840,1,6,1
841,1,7,4
842,2,9,5
843,8,7,8
844,9,3,4
845,3,8,2
846,8,3,3
847,8,1,1
848,1,3,6
849,7,2,7
850,3,7,8
851,6,10,6
852,5,5,4
853,7,9,7
854,1,3,7
855,9,3,1
856,1,6,1
857,6,1,9
858,7,3,8
859,4,1,3
860,3,10,3
861,4,6,10
862,10,7,8
863,6,9,10
864,8,9,7
865,8,2,7
866,8,10,8
867,3,5,10
868,8,10,4
869,8,8,4
870,8,4,4
871,5,10,5
872,8,6,7
873,5,5,1
874,5,4,3
875,10,10,4
876,9,6,9
877,7,3,10
878,6,7,1
879,6,3,8
880,4,5,6
881,4,4,4
882,2,8,5
883,8,7,5
884,10,8,10
885,10,2,10
886,9,3,4
887,10,6,3
888,9,1,6
889,4,1,6
890,3,10,5
891,6,2,8
892,7,4,2
893,10,2,5
894,1,7,10
895,6,1,3
896,9,10,10
897,7,7,4
898,7,8,10
899,10,7,10
900,6,3,7
901,5,4,8
902,2,9,2
903,7,6,9
904,6,3,9
905,7,8,10
906,9,8,10
907,7,5,7
908,5,4,7
909,1,8,7
910,1,2,10
911,7,7,9
912,7,4,9
913,7,4,8
914,4,8,8
915,4,1,1
916,3,7,7
917,10,3,2
918,1,2,2
919,5,7,6
920,10,1,7
921,2,7,7
922,2,6,9
923,3,1,4
924,1,2,6
925,10,10,5
926,7,5,4
927,9,4,6
928,3,9,9
929,7,2,7
930,10,5,1
931,9,5,4
932,9,8,4
933,4,5,5
934,2,1,1
935,6,6,6
936,2,1,4
937,10,3,1
938,4,9,10
939,7,9,1
940,3,6,4
941,10,6,2
942,1,8,4
943,7,3,9
944,1,5,9
945,7,5,7
946,9,10,6
947,6,4,6
948,3,9,1
949,4,3,5
950,7,8,4
951,3,4,5
952,6,9,7
953,1,6,7
954,8,2,4
955,3,7,5
956,3,4,10
957,1,3,2
958,9,10,2
959,4,6,9
960,9,2,10
961,4,1,1
962,10,3,4
963,10,1,2
964,6,6,8
965,5,9,1
966,9,8,2
967,9,4,5
968,2,5,2
969,10,5,6
970,4,2,5
971,8,2,2
972,2,3,4
973,10,10,6
974,9,4,4
975,9,5,6
976,9,1,1
977,8,7,7
978,10,2,3
979,5,5,2
980,7,4,10
981,3,9,3
982,7,10,8
983,5,8,5
984,8,4,7
985,4,7,1
986,2,6,2
987,9,6,6
988,7,2,6
989,6,6,8
990,3,8,6
991,4,6,2
992,1,5,1
993,8,3,4
994,3,6,4
995,8,2,6
996,5,8,2
997,1,7,9
998,8,9,8
999,3,1,10
1000,2,1,4
1001,9,7,6
1002,3,8,2
1003,1,10,9
1004,3,7,1
1005,6,7,5
1006,5,10,8
1007,8,9,4
1008,2,3,5
1009,9,2,4
1010,9,2,5
1011,1,3,9
1012,1,10,1
1013,6,7,9
1014,2,3,4
1015,9,3,7
1016,9,2,6
1017,7,1,3
1018,8,7,10
1019,5,4,4
1020,4,7,1
1021,5,7,2
1022,7,9,8
1023,10,2,7
1024,8,5,3
1025,1,7,3
1026,8,1,2
1027,10,7,10
1028,9,4,10
1029,7,7,2
1030,5,1,10
1031,6,3,6
1032,6,4,6
1033,4,1,6
1034,2,4,1
1035,1,1,4
1036,8,3,9
1037,6,3,3
1038,2,1,8
1039,1,9,10
1040,8,3,3
1041,5,1,10
1042,2,9,10
1043,5,6,8
1044,7,9,5
1045,8,2,10
1046,4,3,6
1047,2,4,6
1048,4,2,4
1049,5,5,7
1050,8,2,4
1051,10,7,3
1052,1,3,2
1053,1,4,5
1054,3,6,2
1055,1,6,6
1056,3,1,8
1057,1,2,2
1058,1,1,4
1059,4,5,9
1060,4,4,10
1061,6,6,10
1062,3,4,3
1063,4,10,10
1064,9,3,3
1065,5,1,10
1066,8,2,7
1067,8,4,7
1068,4,1,4
1069,3,5,5
1070,6,2,5
1071,4,8,10
1072,1,7,6
1073,2,4,6
1074,10,2,4
1075,5,3,3
1076,9,3,8
1077,4,10,5
1078,1,8,7
1079,8,4,5
1080,7,10,7
1081,6,2,10
1082,10,8,9
1083,4,5,2
1084,4,1,3
1085,2,3,4
1086,5,10,7
1087,10,10,8
1088,1,5,7
1089,4,1,4
1090,2,5,8
1091,3,2,10
1092,3,4,3
1093,4,10,10
1094,9,9,8
1095,6,10,6
1096,8,9,6
1097,1,9,8
1098,10,8,1
1099,2,10,3
1100,2,8,5
1101,3,2,7
1102,9,3,4
1103,2,3,7
1104,10,7,6
1105,9,5,6
1106,6,8,3
1107,9,7,7
1108,7,1,2
1109,8,1,4
1110,3,6,1
1111,3,6,1
1112,8,1,1
1113,1,5,9
1114,3,8,8
1115,10,4,6
1116,2,7,2
1117,3,2,10
1118,4,6,6
1119,9,5,2
1120,2,6,8
1121,10,6,2
1122,10,5,8
1123,1,8,6
1124,4,8,10
1125,10,2,1
1126,10,7,5
1127,7,6,2
1128,4,6,3
1129,7,4,3
1130,10,9,3
1131,5,7,3
1132,5,5,3
1133,3,9,4
1134,7,1,10
1135,3,10,4
1136,7,9,6
1137,2,2,8
1138,7,8,4
1139,8,2,1
1140,9,7,10
1141,5,10,4
1142,2,6,2
1143,3,8,4
1144,7,7,3
1145,2,5,2
1146,2,9,1
1147,8,7,3
1148,4,8,5
1149,10,9,1
1150,8,5,5
1151,6,4,6
1152,3,10,2
1153,2,5,5
1154,1,8,1
1155,8,9,1
1156,7,10,10
1157,9,3,10
1158,7,5,10
1159,4,4,2
1160,10,2,4
1161,10,1,4
1162,9,8,7
1163,8,7,2
1164,3,4,4
1165,1,3,2
1166,6,9,6
1167,6,1,5
1168,7,10,6
1169,6,5,3
1170,9,10,9
1171,4,9,10
1172,6,8,9
1173,3,8,9
1174,8,4,2
1175,4,6,10
1176,7,7,1
1177,10,6,8
1178,9,9,2
1179,3,6,2
1180,2,3,2
1181,8,8,3
1182,7,10,9
1183,4,3,8
1184,10,4,9
1185,5,9,8
1186,9,7,1
1187,1,6,9
1188,5,7,1
1189,2,7,9
1190,4,7,6
1191,3,8,3
1192,10,6,6
1193,6,4,7
1194,5,6,6
1195,7,7,5
1196,4,6,8
1197,8,3,9
1198,9,1,9
1199,10,9,10
1200,7,8,10
1201,2,6,3
1202,5,3,10
1203,5,2,4
1204,9,7,9
1205,4,6,4
1206,6,7,8
1207,9,7,3
1208,5,7,9
1209,10,2,1
1210,8,9,7
1211,2,2,3
1212,7,7,9
1213,5,5,1
1214,4,9,8
1215,6,2,6
1216,4,9,5
1217,9,6,4
1218,7,4,6
1219,4,9,4
1220,4,10,10
1221,5,7,7
1222,7,2,4
1223,8,9,6
1224,1,2,6
1225,2,5,7
1226,2,1,9
1227,8,6,9
1228,2,7,6
1229,9,5,9
1230,1,3,8
1231,3,9,3
1232,2,6,2
1233,1,5,4
1234,6,7,9
1235,1,5,10
1236,5,3,3
1237,9,6,3
1238,6,9,8
1239,9,6,4
1240,6,10,2
1241,8,4,4
1242,8,2,3
1243,2,4,1
1244,6,7,7
1245,4,7,3
1246,9,5,10
1247,7,8,5
1248,10,2,4
1249,9,1,3
1250,10,8,9
1251,2,6,3
1252,5,4,2
1253,7,10,3
1254,4,10,2
1255,7,10,7
1256,5,5,5
1257,10,8,2
1258,10,6,8
1259,10,8,1
1260,7,10,8
1261,4,6,2
1262,2,6,10
1263,3,5,2
1264,6,2,5
1265,8,1,2
1266,10,2,4
1267,2,1,4
1268,8,5,3
1269,5,7,8
1270,7,4,5
1271,3,1,1
1272,9,9,3
1273,1,9,3
1274,9,4,5
1275,3,10,1
1276,8,8,8
1277,9,9,4
1278,7,5,4
1279,10,8,4
1280,1,3,8
1281,9,6,6
1282,3,10,9
1283,2,4,3
1284,1,6,9
1285,2,9,3
1286,10,8,4
1287,3,4,10
1288,10,7,8
1289,1,8,2
1290,3,9,2
1291,8,8,9
1292,9,2,1
1293,7,6,3
1294,7,9,5
1295,10,6,3
1296,10,2,7
1297,7,9,6
1298,9,6,9
1299,5,1,9
1300,2,1,5
1301,1,5,3
1302,5,10,5
1303,7,10,8
1304,7,2,7
1305,3,5,5
1306,8,5,7
1307,8,9,2
1308,5,3,7
1309,7,2,9
1310,2,6,7
1311,10,8,4
1312,10,10,10
1313,1,1,1
1314,8,1,10
1315,5,3,10
1316,1,6,5
1317,8,5,10
1318,7,8,6
1319,5,3,6
1320,5,3,9
1321,7,6,7
1322,8,7,8
1323,5,9,4
1324,10,8,2
1325,9,8,2
1326,1,10,1
1327,3,1,6
1328,10,5,1
1329,6,4,5
1330,5,10,8
1331,6,6,9
1332,1,5,9
1333,5,7,5
1334,1,1,2
1335,9,8,6
1336,4,9,2
1337,3,9,9
1338,8,8,8
1339,6,7,8
1340,9,8,10
1341,3,8,5
1342,3,3,7
1343,8,3,1
1344,5,4,4
1345,5,1,5
1346,5,3,5
1347,1,1,8
1348,5,9,6
1349,2,7,5
1350,1,5,3
1351,3,10,1
1352,6,7,6
1353,2,8,1
1354,2,7,10
1355,6,1,2
1356,10,1,5
1357,6,5,2
1358,1,1,10
1359,10,8,9
1360,7,4,2
1361,1,8,5
1362,10,6,4
1363,5,5,1
1364,2,10,1
1365,2,10,8
1366,5,8,2
1367,10,10,3
1368,3,3,10
1369,3,10,6
1370,1,2,8
1371,3,3,2
1372,6,3,9
1373,5,6,6
1374,5,8,2
1375,4,7,5
1376,3,5,5
1377,5,7,9
1378,4,9,7
1379,6,6,7
1380,6,9,1
1381,4,2,9
1382,7,6,3
1383,4,9,3
1384,6,5,6
1385,8,8,6
1386,10,2,7
1387,9,10,7
1388,4,10,5
1389,8,4,5
1390,3,8,2
1391,8,6,10
1392,4,3,4
1393,5,1,2
1394,9,4,6
1395,2,3,3
1396,2,6,10
1397,1,2,1
1398,7,6,6
1399,1,7,9
1400,2,1,3
1401,5,6,8
1402,4,8,10
1403,8,5,8
1404,2,1,6
1405,4,6,8
1406,3,3,6
1407,8,2,4
1408,6,2,4
1409,4,7,1
1410,1,5,1
1411,2,8,4
1412,5,3,4
1413,10,8,8
1414,8,4,1
1415,8,9,3
1416,4,8,6
1417,7,8,5
1418,7,3,5
1419,6,2,1
1420,2,10,1
1421,6,2,4
1422,10,1,2
1423,6,4,8
1424,9,2,3
1425,4,9,6
1426,4,3,5
1427,7,3,2
1428,8,7,8
1429,4,4,5
1430,8,10,9
1431,5,10,4
1432,4,1,1
1433,3,8,3
1434,5,5,5
1435,3,6,9
1436,6,1,1
1437,3,2,2
1438,8,2,6
1439,7,8,9
1440,5,8,3
1441,2,6,1
1442,7,7,3
1443,3,1,7
1444,5,9,8
1445,5,1,3
1446,7,5,3
1447,5,6,7
1448,4,8,3
1449,2,10,5
1450,4,8,7
1451,2,4,8
1452,4,1,10
1453,8,9,8
1454,4,5,5
1455,5,3,5
1456,10,1,7
1457,3,4,2
1458,10,1,10
1459,2,3,10
1460,4,4,3
1461,8,3,1
1462,3,3,4
1463,5,6,3
1464,10,8,7
1465,3,6,3
1466,9,5,5
1467,7,5,4
1468,5,2,7
1469,5,4,8
1470,5,4,8
1471,5,5,2
1472,4,1,1
1473,3,9,5
1474,10,1,9
1475,1,9,5
1476,4,4,7
1477,2,8,3
1478,6,8,4
1479,1,7,7
1480,5,1,9
1481,7,5,5
1482,8,6,5
1483,7,2,5
1484,10,5,4
1485,2,7,7
1486,4,7,5
1487,6,1,10
1488,9,4,6
1489,9,6,9
1490,1,1,8
1491,10,8,5
1492,8,8,7
1493,3,9,6
1494,1,8,9
1495,2,10,8
1496,4,4,9
1497,5,5,9
1498,8,9,9
1499,10,6,4
1500,3,10,9
1501,4,9,6
1502,10,4,4
1503,2,6,4
1504,5,7,8
1505,2,1,5
1506,4,8,8
1507,9,5,1
1508,8,3,5
1509,2,4,3
1510,1,10,7
1511,10,1,9
1512,3,8,9
1513,8,6,7
1514,6,9,4
1515,1,7,7
1516,4,10,1
1517,4,8,6
1518,7,9,8
1519,4,10,7
1520,2,5,9
1521,8,1,2
1522,7,10,2
1523,3,3,8
1524,5,6,10
1525,10,3,10
1526,9,8,10
1527,4,8,6
1528,2,4,8
1529,8,4,9
1530,2,6,2
1531,5,1,3
1532,1,6,2
1533,9,9,5
1534,9,9,8
1535,10,1,6
1536,8,4,4
1537,10,4,10
1538,7,10,1
1539,1,10,8
1540,3,10,8
1541,3,6,6
1542,6,9,1
1543,3,8,9
1544,4,5,8
1545,3,8,1
1546,8,7,9
1547,1,2,4
1548,7,7,10
1549,4,9,5
1550,10,2,6
1551,3,1,6
1552,5,7,2
1553,4,1,5
1554,10,9,10
1555,8,3,3
1556,5,4,2
1557,9,8,6
1558,2,2,5
1559,5,10,10
1560,5,7,10
1561,6,4,4
1562,1,1,2
1563,9,2,9
1564,6,9,2
1565,2,10,2
1566,3,9,6
1567,1,10,3
1568,4,3,6
1569,6,4,4
1570,4,6,8
1571,8,10,8
1572,6,10,7
1573,7,7,10
1574,1,3,1
1575,3,6,8
1576,9,5,2
1577,4,5,7
1578,2,7,4
1579,1,9,8
1580,7,2,9
1581,9,3,6
1582,8,6,2
1583,9,9,2
1584,8,10,7
1585,7,6,4
1586,2,1,9
1587,7,4,3
1588,9,10,3
1589,8,8,6
1590,5,6,6
1591,9,2,6
1592,8,8,2
1593,4,7,5
1594,4,8,6
1595,9,7,4
1596,10,5,4
1597,1,2,5
1598,10,4,8
1599,4,8,4
1600,5,6,2
1601,7,3,10
1602,10,4,1
1603,10,10,7
1604,5,8,7
1605,3,8,5
1606,10,4,7
1607,1,9,2
1608,8,6,6
1609,10,6,9
1610,7,4,5
1611,6,3,9
1612,9,3,6
1613,2,8,10
1614,5,1,10
1615,4,7,1
1616,2,7,1
1617,7,7,4
1618,10,6,7
1619,1,7,9
1620,2,9,6
1621,6,9,7
1622,9,1,4
1623,7,7,5
1624,10,7,8
1625,7,2,9
1626,3,7,4
1627,7,5,9
1628,2,2,5
1629,9,3,10
1630,5,6,9
1631,10,2,10
1632,9,8,3
1633,9,10,9
1634,2,6,8
1635,4,10,5
1636,6,1,4
1637,2,8,4
1638,5,9,1
1639,9,1,4
1640,6,4,9
1641,2,3,10
1642,3,5,3
1643,3,7,3
1644,1,5,10
1645,8,4,6
1646,2,7,7
1647,6,3,4
1648,8,1,6
1649,9,9,10
1650,2,5,5
1651,2,8,5
1652,5,5,6
1653,8,6,7
1654,9,8,10
1655,1,3,4
1656,10,8,8
1657,1,3,3
1658,1,2,8
1659,9,9,3
1660,4,10,6
1661,8,5,8
1662,4,4,6
